selected_index,filename,split,view_category,quality_condition,source_width,source_height,source_sha256,mask_path,mask_sha256,annotation_method
142,IMG20260826124754.jpg,test,low_angle_pedestal,normal,3072,4080,78779564977103710d8d8864b4734c5851b0733c9312a6ced126a6573f800aa6,ml_dataset/masks/IMG20260826124754_mask.png,eb1644f8897431dc88d38e310140183fc05b524d0c7883168ae8e4482aa11b41,opencv_assisted_visually_reviewed_bounded_correction
148,IMG20260826124908.jpg,train,elevated_oblique,normal,3072,4080,a5164a40b220b7f75cf847c1e68930643f2bf56283a0e36da5227c1fbf1c3a95,ml_dataset/masks/IMG20260826124908_mask.png,b63cdbcbe3be63ee9aa5712ddf70f5114e611ed2cae48ab7692289e6c43d1079,opencv_assisted_visually_reviewed_bounded_correction
151,IMG20260826124916.jpg,train,elevated_oblique,normal,3072,4080,584e2b794c35b7042bb0c137db7a64f5fce0a2dabdf1b53dc59aadcd0187d2a4,ml_dataset/masks/IMG20260826124916_mask.png,44cb464b70fbfccf23aa6e71e0d7fc65b8d1deb12fc3a6b76d772fdad71c2cf1,opencv_assisted_visually_reviewed_bounded_correction
154,IMG20260826124927.jpg,train,elevated_oblique,normal,3072,4080,18c73ad02c92b965863aa8aa2e6a44085c6f1b91b3f437c9513c89a5100a71aa,ml_dataset/masks/IMG20260826124927_mask.png,c70fb277e09661e541ff14d649afa0c4a37e545f31a4cf9b9c9b42614ad22b61,opencv_assisted_visually_reviewed_bounded_correction
165,IMG20260826125013.jpg,test,elevated_oblique,normal,3072,4080,cedab10568128360cc9d1711726cb34a71cc037099d60b641f9b5101111f78fb,ml_dataset/masks/IMG20260826125013_mask.png,7250096513d00c7418fc0e8d903445bc80996f26758af1b55ed5fdf1365a2c24,opencv_assisted_visually_reviewed_bounded_correction
177,IMG20260826125146.jpg,train,elevated_oblique,low_brightness,3072,4080,ec42fc9d1678979e4232aca093c07b624e82180a75c6ba294c6d4ec2c6e68f62,ml_dataset/masks/IMG20260826125146_mask.png,8672e6d4529f96f178c614ce8ffd328752ea20f4422071cfcc85f9384eeee605,opencv_assisted_visually_reviewed_bounded_correction
180,IMG20260826125224.jpg,train,elevated_oblique,normal,3072,4080,664b8782cda53e1d9f0ed4b5d40491e5811bec1268ab887ebaae884f5446a928,ml_dataset/masks/IMG20260826125224_mask.png,7ca016953f969d5307a45400f1e68a946b361166d64f3a29d828a2170b65f4a5,opencv_assisted_visually_reviewed_bounded_correction
188,IMG20260826125249.jpg,val,elevated_oblique,normal,3072,4080,fd71901e868130baca172454fcfc2d7def3d469531747a0dd357792d1a17c00f,ml_dataset/masks/IMG20260826125249_mask.png,da774f2fccb8ebe620fbbc799fbb2b0e64a31256da35d3c862aba980d115c8bd,opencv_assisted_visually_reviewed_bounded_correction
200,IMG20260826125422.jpg,test,elevated_oblique,normal,3072,4080,01079ea8f5ba3b96e3522d6cd28c57678b93c6a1b91524550a2678c6e9b8fcfb,ml_dataset/masks/IMG20260826125422_mask.png,4adf8c3007e1f908bb9453aa92ffdc984833e5215716eee9acb7b2d36bc4a6af,opencv_assisted_visually_reviewed_bounded_correction
206,IMG20260826125527.jpg,train,top_down_rim,normal,3072,4080,5ee04f4cd94e97a20af2b6be6f87b3188a77f0ba5c164e31656fba4f46b3a08d,ml_dataset/masks/IMG20260826125527_mask.png,ccfd5a7006068b0df746f5fefd671acde03734f9208173ecea966ffce6f30dc8,opencv_assisted_visually_reviewed_bounded_correction
209,IMG20260826125534.jpg,train,top_down_rim,normal,3072,4080,280661a66587e8c62a2767fff7b24211f49ddd8b097f3add4c9d2f5bec6f459f,ml_dataset/masks/IMG20260826125534_mask.png,7f653a171e84c0e4c21ef54975e0105dca06c953b5dffd5b1b20c0d8af53feaa,opencv_assisted_visually_reviewed_bounded_correction
212,IMG20260826125619.jpg,train,top_down_rim,normal,3072,4080,bc70937c387d2835d51486336a32e9ff18ce64b8078da41decd429fedccf4271,ml_dataset/masks/IMG20260826125619_mask.png,b1b20b68e376dbdca9ab526d9ad10b87de9a75645cd988fab19284a59a784256,opencv_assisted_visually_reviewed_bounded_correction
221,IMG20260826125650.jpg,val,top_down_rim,normal,3072,4080,9e5ce7f9947755e80bf8ac417615a09f59c8fda3e376c412d8c116c57ca7f403,ml_dataset/masks/IMG20260826125650_mask.png,8252e0384061251784e65f84ea6e408f7e7c9b99b27919edbd5461f7cbd2209d,opencv_assisted_visually_reviewed_bounded_correction
230,IMG20260826125845.jpg,train,top_down_rim,normal,3072,4080,1a4bcf566230f35f897403cbce342ba1b8850fe94cf77a6a25eb73389eeceba8,ml_dataset/masks/IMG20260826125845_mask.png,8c9bf5d6cb1eb5c19488b1f5f265ff65abfd44a09449ce5570b05dfa4ac94fe6,opencv_assisted_visually_reviewed_bounded_correction
233,IMG20260826125854.jpg,train,top_down_rim,normal,3072,4080,af5957ce5be0f6d43c7a2483767032a89894b1dab891468cef58dd4156c4812a,ml_dataset/masks/IMG20260826125854_mask.png,1a7b4cd2dac3344f3ac4d967dabf45fe2ef48667398c21b26cc46702d04e5848,opencv_assisted_visually_reviewed_bounded_correction
243,IMG20260826125942.jpg,val,top_down_rim,low_contrast,3072,4080,87a47deeb49156b6cf08c4ae5ffc8512568ffb0c6fb324aab690d532bc57b659,ml_dataset/masks/IMG20260826125942_mask.png,1c8747e6f4a64508f18b8e59e8bb70240ba6b034742a0375b70797da7f259819,opencv_assisted_visually_reviewed_bounded_correction
255,IMG20260826130051.jpg,test,top_down_rim,low_sharpness_low_features,3072,4080,f647aec46921fc674979eb344ef28dee018688b7e1b8a7f6d77641e75303174d,ml_dataset/masks/IMG20260826130051_mask.png,b7b9457bca6ad39f0945d996c17f17174e0c0779b25624d65841132542f3a340,opencv_assisted_visually_reviewed_bounded_correction
267,IMG20260826130313.jpg,train,oblique_detail,low_brightness,3072,4080,ed70e37437431c4835ec530dc5e5a4c9813f14645dad440a9c6d5d8a7e868c07,ml_dataset/masks/IMG20260826130313_mask.png,7f1fa927d13d7ec0dae39cf94a1561893260c18bee92ccbef011e406eacd81dc,opencv_assisted_visually_reviewed_bounded_correction
268,IMG20260826130322.jpg,train,oblique_detail,low_brightness,3072,4080,2d06baf5362f66f66842766b5d5ff629237c0f33de6051b4096af66409cf8193,ml_dataset/masks/IMG20260826130322_mask.png,f5bdd320d66433951b56dfa14bdf5006970fa4770197421f629a345909a3a409,opencv_assisted_visually_reviewed_bounded_correction
278,IMG20260826130357.jpg,val,oblique_detail,normal,3072,4080,621e0e3b68cedfc54a7bc28248772003e54de2e64bb4c725a43a86df7a45a591,ml_dataset/masks/IMG20260826130357_mask.png,8b3c3fcea9f20e61ac9ecac59a08b72ea0cef5aeb1b34cf1ce8251f69cb79d34,opencv_assisted_visually_reviewed_bounded_correction
288,IMG20260826130427.jpg,test,oblique_detail,normal,3072,4080,f0873ae69aca56e1594590b86ca4ffb00484173ded6e828d1fc62f7976b0776a,ml_dataset/masks/IMG20260826130427_mask.png,9c063aa860fddfb66f3d4eb2c46afb70a3ab352ddd57c2b05da97f194eb48690,opencv_assisted_visually_reviewed_bounded_correction
